symbol,companyName,sector,industry,marketCap,oneYearReturnPct,cik,capital_need_score,cash_runway_component,leverage_component,capex_component,sector_component,active_unused_shelf,profitability_override,score_note,first_seen_date
PGY,Pagaya Technologies Ltd. Class A Ordinary Shares,Finance,Finance: Consumer Services,1833700029.0,-40.4,0001883085,14.2,0.1,0.15,0.15,0.3,False,False,,2026-08-30
AMSC,American Superconductor Corporation Common Stock,Consumer Discretionary,Metal Fabrications,1380116654.0,-42.91,0000880807,13.2,0.1,0.15,0.15,0.25,False,False,,2026-08-30
AMSF,AMERISAFE Inc. Common Stock,Finance,Property-Casualty Insurers,486571523.0,-39.02,0001018979,13.2,0.1,0.15,0.15,0.25,False,True,,2026-08-30
ARLO,Arlo Technologies Inc. Common Stock,Consumer Discretionary,Diversified Commercial Services,1387135489.0,-25.96,0001736946,13.2,0.1,0.15,0.15,0.25,False,False,,2026-08-30
BBSI,Barrett Business Services Inc. Common Stock,Consumer Discretionary,Professional Services,832963137.0,-28.84,0000902791,13.2,0.1,0.15,0.15,0.25,False,True,,2026-08-30
CIA,Citizens Inc. Class A Common Stock ($1.00 Par),Finance,Life Insurance,194469535.0,-27.41,0000024090,13.2,0.1,0.15,0.15,0.25,False,False,,2026-08-30
CURI,CuriosityStream Inc. Class A Common Stock,Consumer Discretionary,Movies/Entertainment,154872253.0,-37.94,0001776909,13.2,0.1,0.15,0.15,0.25,False,True,,2026-08-30
DH,Definitive Healthcare Corp. Class A Common Stock,Technology,Computer Software: Prepackaged Software,116323965.0,-80.1,0001861795,13.2,0.1,0.15,0.15,0.25,False,False,,2026-08-30
ERII,Energy Recovery Inc. Common Stock,Technology,Industrial Machinery/Components,396618679.0,-45.32,0001421517,13.2,0.1,0.15,0.15,0.25,False,False,,2026-08-30
HWKN,Hawkins Inc. Common Stock,Consumer Discretionary,Specialty Chemicals,2512320331.0,-27.68,0000046250,13.2,0.1,0.15,0.15,0.25,False,True,,2026-08-30
LMB,Limbach Holdings Inc. Common Stock,Consumer Discretionary,Engineering & Construction,492979211.0,-63.91,0001606163,13.2,0.1,0.15,0.15,0.25,False,False,,2026-08-30
LZ,LegalZoom.com Inc. Common Stock,Technology,EDP Services,1053278594.0,-44.49,0001286139,13.2,0.1,0.15,0.15,0.25,False,False,,2026-08-30
NUS,Nu Skin Enterprises Inc. Common Stock,Health Care,Other Pharmaceuticals,236081675.0,-58.71,0001021561,13.2,0.1,0.15,0.15,0.25,False,True,,2026-08-30
PHR,Phreesia Inc. Common Stock,Consumer Discretionary,Business Services,751014451.0,-61.62,0001412408,13.2,0.1,0.15,0.15,0.25,False,False,,2026-08-30
PSIX,Power Solutions International Inc. Common Stock,Industrials,Industrial Machinery/Components,836814526.0,-56.23,0001137091,13.2,0.1,0.15,0.15,0.25,False,False,,2026-08-30
ROOT,Root Inc. Class A Common Stock,Finance,Property-Casualty Insurers,874284210.0,-38.81,0001788882,13.2,0.1,0.15,0.15,0.25,False,False,,2026-08-30
SDHC,Smith Douglas Homes Corp. Class A Common Stock,Consumer Discretionary,Homebuilding,627222222.0,-37.07,0001982518,13.2,0.1,0.15,0.15,0.25,False,False,,2026-08-30
SMPL,The Simply Good Foods Company Common Stock,Consumer Staples,Packaged Foods,966873757.0,-61.82,0001702744,13.2,0.1,0.15,0.15,0.25,False,False,,2026-08-30
SPOK,Spok Holdings Inc. Common Stock,Telecommunications,Telecommunications Equipment,222778159.0,-34.63,0001289945,13.2,0.1,0.15,0.15,0.25,False,True,,2026-08-30
SSTK,Shutterstock Inc. Common Stock,Technology,EDP Services,220577673.0,-69.08,0001549346,13.2,0.1,0.15,0.15,0.25,False,True,,2026-08-30
TRIP,TripAdvisor Inc. Common Stock,Technology,Computer Software: Programming Data Processing,1156757506.0,-43.34,0001526520,13.2,0.1,0.15,0.15,0.25,False,False,,2026-08-30
TRUP,Trupanion Inc. Common Stock,Health Care,Medical Specialities,1299506738.0,-36.11,0001371285,13.2,0.1,0.15,0.15,0.25,False,False,,2026-08-30
TTGT,TechTarget Inc. Common Stock,Telecommunications,Telecommunications Equipment,280650721.0,-34.24,0002018064,13.2,0.1,0.15,0.15,0.25,False,False,,2026-08-30
UPWK,Upwork Inc. Common Stock,Technology,EDP Services,1126628352.0,-41.39,0001627475,13.2,0.1,0.15,0.15,0.25,False,False,,2026-08-30
USNA,USANA Health Sciences Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products ,259410537.0,-56.0,0000896264,13.2,0.1,0.15,0.15,0.25,False,False,,2026-08-30
YELP,Yelp Inc. Common Stock,Consumer Discretionary,Other Consumer Services,1257830735.0,-26.69,0001345016,13.2,0.1,0.15,0.15,0.25,False,False,,2026-08-30
